iteration,EPT,EPI
27500,4.265E-11,0.000E+00
27600,4.366E-11,0.000E+00
27700,4.516E-11,0.000E+00
27800,4.121E-11,0.000E+00
27900,4.155E-11,0.000E+00
28000,4.012E-11,0.000E+00
28100,4.439E-11,0.000E+00
28200,4.259E-11,0.000E+00
28300,4.436E-11,0.000E+00
28400,4.458E-11,0.000E+00
28500,4.109E-11,0.000E+00
28600,4.730E-11,0.000E+00
28700,4.053E-11,0.000E+00
28800,4.349E-11,0.000E+00
28900,4.252E-11,0.000E+00
29000,4.444E-11,0.000E+00
29100,4.224E-11,0.000E+00
29200,4.027E-11,0.000E+00
29300,4.699E-11,0.000E+00
29400,4.117E-11,0.000E+00
29500,4.268E-11,0.000E+00
29600,4.310E-11,0.000E+00
29700,4.353E-11,0.000E+00
29800,4.112E-11,0.000E+00
29900,4.018E-11,0.000E+00
30000,4.419E-11,0.000E+00
30100,4.202E-11,0.000E+00
30200,4.132E-11,0.000E+00
30300,4.086E-11,0.000E+00
30400,4.503E-11,0.000E+00
30500,4.188E-11,0.000E+00
30600,4.188E-11,0.000E+00
30700,4.343E-11,0.000E+00
30800,4.223E-11,0.000E+00
30900,4.529E-11,0.000E+00
31000,3.982E-11,0.000E+00
31100,4.516E-11,0.000E+00
31200,4.372E-11,0.000E+00
31300,4.298E-11,0.000E+00
31400,4.410E-11,0.000E+00
31500,4.159E-11,0.000E+00
31600,4.554E-11,0.000E+00
31700,3.920E-11,0.000E+00
31800,4.360E-11,0.000E+00
31900,4.202E-11,0.000E+00
32000,4.418E-11,0.000E+00
32100,4.466E-11,0.000E+00
32200,4.070E-11,0.000E+00
32300,4.164E-11,0.000E+00
32400,4.015E-11,0.000E+00
32500,4.254E-11,0.000E+00
32600,4.122E-11,0.000E+00
32700,4.417E-11,0.000E+00
32800,4.324E-11,0.000E+00
32900,4.063E-11,0.000E+00
33000,4.364E-11,0.000E+00
33100,4.074E-11,0.000E+00
33200,4.219E-11,0.000E+00
33300,4.133E-11,0.000E+00
33400,4.425E-11,0.000E+00
33500,4.114E-11,0.000E+00
33600,4.050E-11,0.000E+00
33700,4.411E-11,0.000E+00
33800,4.058E-11,0.000E+00
33900,4.196E-11,0.000E+00
34000,4.135E-11,0.000E+00
34100,4.498E-11,0.000E+00
34200,4.145E-11,0.000E+00
34300,4.137E-11,0.000E+00
34400,4.507E-11,0.000E+00
34500,4.139E-11,0.000E+00
34600,4.500E-11,0.000E+00
34700,4.066E-11,0.000E+00
34800,4.305E-11,0.000E+00
34900,4.160E-11,0.000E+00
35000,4.223E-11,0.000E+00
35100,4.354E-11,0.000E+00
35200,4.201E-11,0.000E+00
35300,4.593E-11,0.000E+00
35400,3.960E-11,0.000E+00
35500,4.509E-11,0.000E+00
35600,4.307E-11,0.000E+00
35700,4.283E-11,0.000E+00
35800,4.271E-11,0.000E+00
35900,4.141E-11,0.000E+00
36000,4.349E-11,0.000E+00
36100,4.015E-11,0.000E+00
36200,4.342E-11,0.000E+00
36300,4.273E-11,0.000E+00
36400,4.319E-11,0.000E+00
36500,4.228E-11,0.000E+00
36600,4.010E-11,0.000E+00
36700,4.534E-11,0.000E+00
36800,4.148E-11,0.000E+00
36900,4.355E-11,0.000E+00
37000,4.294E-11,0.000E+00
37100,4.423E-11,0.000E+00
37200,4.232E-11,0.000E+00
37300,4.008E-11,0.000E+00
37400,4.366E-11,0.000E+00
37500,4.085E-11,0.000E+00
37600,4.209E-11,0.000E+00
37700,4.157E-11,0.000E+00
37800,4.453E-11,0.000E+00
37900,4.102E-11,0.000E+00
38000,4.102E-11,0.000E+00
38100,4.440E-11,0.000E+00
38200,4.144E-11,0.000E+00
38300,4.086E-11,0.000E+00
38400,4.114E-11,0.000E+00
38500,4.387E-11,0.000E+00
38600,4.213E-11,0.000E+00
38700,4.167E-11,0.000E+00
38800,4.457E-11,0.000E+00
38900,4.191E-11,0.000E+00
39000,4.048E-11,0.000E+00
39100,3.987E-11,0.000E+00
39200,4.324E-11,0.000E+00
39300,4.269E-11,0.000E+00
39400,4.391E-11,0.000E+00
39500,4.352E-11,0.000E+00
39600,4.162E-11,0.000E+00
39700,4.506E-11,0.000E+00
39800,3.954E-11,0.000E+00
39900,4.448E-11,0.000E+00
40000,4.252E-11,0.000E+00
40100,4.455E-11,0.000E+00
40200,4.433E-11,0.000E+00
40300,4.114E-11,0.000E+00
40400,4.248E-11,0.000E+00
40500,4.072E-11,0.000E+00
40600,4.372E-11,0.000E+00
40700,4.238E-11,0.000E+00
40800,4.393E-11,0.000E+00
40900,4.302E-11,0.000E+00
41000,4.064E-11,0.000E+00
41100,4.274E-11,0.000E+00
41200,4.042E-11,0.000E+00
41300,4.329E-11,0.000E+00
41400,4.245E-11,0.000E+00
41500,4.252E-11,0.000E+00
41600,4.100E-11,0.000E+00
41700,3.990E-11,0.000E+00
41800,4.329E-11,0.000E+00
41900,4.137E-11,0.000E+00
42000,4.243E-11,0.000E+00
42100,4.133E-11,0.000E+00
42200,4.364E-11,0.000E+00
42300,4.211E-11,0.000E+00
42400,4.134E-11,0.000E+00
42500,4.339E-11,0.000E+00
42600,4.124E-11,0.000E+00
42700,4.322E-11,0.000E+00
42800,4.025E-11,0.000E+00
42900,4.527E-11,0.000E+00
43000,4.257E-11,0.000E+00
43100,4.245E-11,0.000E+00
43200,4.344E-11,0.000E+00
43300,4.125E-11,0.000E+00
43400,4.415E-11,0.000E+00
43500,3.968E-11,0.000E+00
43600,4.491E-11,0.000E+00
43700,4.250E-11,0.000E+00
43800,4.331E-11,0.000E+00
43900,4.562E-11,0.000E+00
44000,4.141E-11,0.000E+00
44100,4.504E-11,0.000E+00
44200,3.906E-11,0.000E+00
44300,4.409E-11,0.000E+00
44400,4.267E-11,0.000E+00
44500,4.408E-11,0.000E+00
44600,4.424E-11,0.000E+00
44700,4.089E-11,0.000E+00
44800,4.235E-11,0.000E+00
44900,4.072E-11,0.000E+00
45000,4.350E-11,0.000E+00
45100,4.270E-11,0.000E+00
45200,4.488E-11,0.000E+00
45300,4.210E-11,0.000E+00
45400,3.980E-11,0.000E+00
45500,4.391E-11,0.000E+00
45600,4.056E-11,0.000E+00
45700,4.176E-11,0.000E+00
45800,4.159E-11,0.000E+00
45900,4.470E-11,0.000E+00
46000,4.103E-11,0.000E+00
46100,4.040E-11,0.000E+00
46200,4.314E-11,0.000E+00
46300,4.084E-11,0.000E+00
46400,4.269E-11,0.000E+00
46500,4.099E-11,0.000E+00
46600,4.325E-11,0.000E+00
46700,4.196E-11,0.000E+00
46800,4.241E-11,0.000E+00
46900,4.494E-11,0.000E+00
47000,4.165E-11,0.000E+00
47100,4.460E-11,0.000E+00
47200,3.933E-11,0.000E+00
47300,4.291E-11,0.000E+00
47400,4.207E-11,0.000E+00
47500,4.273E-11,0.000E+00
47600,4.411E-11,0.000E+00
47700,4.160E-11,0.000E+00
47800,4.157E-11,0.000E+00
47900,3.976E-11,0.000E+00
48000,4.457E-11,0.000E+00
48100,4.314E-11,0.000E+00
48200,4.370E-11,0.000E+00
48300,4.370E-11,0.000E+00
48400,4.108E-11,0.000E+00
48500,4.651E-11,0.000E+00
48600,4.069E-11,0.000E+00
48700,4.320E-11,0.000E+00
48800,4.239E-11,0.000E+00
48900,4.448E-11,0.000E+00
49000,4.275E-11,0.000E+00
49100,4.003E-11,0.000E+00
49200,4.332E-11,0.000E+00
49300,4.126E-11,0.000E+00
49400,4.262E-11,0.000E+00
49500,4.214E-11,0.000E+00
49600,4.436E-11,0.000E+00
49700,4.089E-11,0.000E+00
49800,3.984E-11,0.000E+00
49900,4.306E-11,0.000E+00
50000,4.149E-11,0.000E+00
50100,4.296E-11,0.000E+00
50200,4.140E-11,0.000E+00
50300,4.219E-11,0.000E+00
50400,4.159E-11,0.000E+00
50500,4.222E-11,0.000E+00
50600,4.509E-11,0.000E+00
50700,4.140E-11,0.000E+00
50800,4.489E-11,0.000E+00
50900,4.099E-11,0.000E+00
51000,4.469E-11,0.000E+00
51100,4.152E-11,0.000E+00
51200,4.206E-11,0.000E+00
51300,4.420E-11,0.000E+00
51400,4.188E-11,0.000E+00
51500,4.140E-11,0.000E+00
51600,3.875E-11,0.000E+00
51700,4.475E-11,0.000E+00
51800,4.296E-11,0.000E+00
51900,4.343E-11,0.000E+00
52000,4.429E-11,0.000E+00
52100,4.150E-11,0.000E+00
52200,4.299E-11,0.000E+00
52300,4.041E-11,0.000E+00
52400,4.395E-11,0.000E+00
52500,4.213E-11,0.000E+00
52600,4.452E-11,0.000E+00
52700,4.394E-11,0.000E+00
52800,3.970E-11,0.000E+00
52900,4.540E-11,0.000E+00
53000,4.154E-11,0.000E+00
53100,4.303E-11,0.000E+00
53200,4.193E-11,0.000E+00
53300,4.490E-11,0.000E+00
53400,4.145E-11,0.000E+00
53500,3.952E-11,0.000E+00
53600,4.335E-11,0.000E+00
53700,4.186E-11,0.000E+00
53800,4.257E-11,0.000E+00
53900,4.170E-11,0.000E+00
54000,4.301E-11,0.000E+00
54100,4.179E-11,0.000E+00
54200,4.144E-11,0.000E+00
54300,4.394E-11,0.000E+00
54400,4.150E-11,0.000E+00
54500,4.405E-11,0.000E+00
54600,3.915E-11,0.000E+00
54700,4.460E-11,0.000E+00
54800,4.166E-11,0.000E+00
54900,4.156E-11,0.000E+00
55000,4.327E-11,0.000E+00
55100,4.189E-11,0.000E+00
55200,4.119E-11,0.000E+00
55300,4.045E-11,0.000E+00
55400,4.491E-11,0.000E+00
55500,4.241E-11,0.000E+00
55600,4.326E-11,0.000E+00
55700,4.390E-11,0.000E+00
55800,4.143E-11,0.000E+00
55900,4.113E-11,0.000E+00
56000,3.975E-11,0.000E+00
56100,4.469E-11,0.000E+00
56200,4.291E-11,0.000E+00
56300,4.393E-11,0.000E+00
56400,4.409E-11,0.000E+00
56500,4.124E-11,0.000E+00
56600,4.768E-11,0.000E+00
56700,4.040E-11,0.000E+00
56800,4.270E-11,0.000E+00
56900,4.193E-11,0.000E+00
57000,4.456E-11,0.000E+00
57100,4.186E-11,0.000E+00
57200,4.019E-11,0.000E+00
57300,4.392E-11,0.000E+00
57400,4.155E-11,0.000E+00
57500,4.254E-11,0.000E+00
57600,4.206E-11,0.000E+00
57700,4.302E-11,0.000E+00
57800,4.143E-11,0.000E+00
57900,4.074E-11,0.000E+00
58000,4.381E-11,0.000E+00
58100,4.181E-11,0.000E+00
58200,4.339E-11,0.000E+00
58300,4.201E-11,0.000E+00
58400,4.278E-11,0.000E+00
58500,4.124E-11,0.000E+00
58600,4.183E-11,0.000E+00
58700,4.448E-11,0.000E+00
58800,4.095E-11,0.000E+00
58900,4.351E-11,0.000E+00
59000,4.056E-11,0.000E+00
59100,4.524E-11,0.000E+00
59200,4.243E-11,0.000E+00
59300,4.280E-11,0.000E+00
59400,4.346E-11,0.000E+00
59500,4.163E-11,0.000E+00
59600,4.560E-11,0.000E+00
59700,3.954E-11,0.000E+00
59800,4.433E-11,0.000E+00
59900,4.258E-11,0.000E+00
60000,4.377E-11,0.000E+00
60100,4.517E-11,0.000E+00
60200,4.125E-11,0.000E+00
60300,4.593E-11,0.000E+00
60400,4.034E-11,0.000E+00
60500,4.402E-11,0.000E+00
60600,4.311E-11,0.000E+00
60700,4.433E-11,0.000E+00
60800,4.333E-11,0.000E+00
60900,4.058E-11,0.000E+00
61000,4.420E-11,0.000E+00
61100,4.091E-11,0.000E+00
61200,4.282E-11,0.000E+00
61300,4.254E-11,0.000E+00
61400,4.498E-11,0.000E+00
61500,4.097E-11,0.000E+00
61600,4.009E-11,0.000E+00
61700,4.388E-11,0.000E+00
61800,4.103E-11,0.000E+00
61900,4.275E-11,0.000E+00
62000,4.105E-11,0.000E+00
62100,4.238E-11,0.000E+00
62200,4.194E-11,0.000E+00
62300,4.240E-11,0.000E+00
62400,4.490E-11,0.000E+00
62500,4.142E-11,0.000E+00
62600,4.378E-11,0.000E+00
62700,4.007E-11,0.000E+00
62800,4.286E-11,0.000E+00
62900,4.231E-11,0.000E+00
63000,4.367E-11,0.000E+00
63100,4.420E-11,0.000E+00
63200,4.125E-11,0.000E+00
63300,4.128E-11,0.000E+00
63400,3.940E-11,0.000E+00
63500,4.431E-11,0.000E+00
63600,4.247E-11,0.000E+00
63700,4.402E-11,0.000E+00
63800,4.504E-11,0.000E+00
63900,4.135E-11,0.000E+00
64000,4.345E-11,0.000E+00
64100,4.003E-11,0.000E+00
64200,4.369E-11,0.000E+00
64300,4.211E-11,0.000E+00
64400,4.423E-11,0.000E+00
64500,4.260E-11,0.000E+00
64600,4.061E-11,0.000E+00
64700,4.452E-11,0.000E+00
64800,4.121E-11,0.000E+00
64900,4.239E-11,0.000E+00
65000,4.146E-11,0.000E+00
65100,4.509E-11,0.000E+00
65200,4.257E-11,0.000E+00
65300,3.959E-11,0.000E+00
65400,4.390E-11,0.000E+00
65500,4.136E-11,0.000E+00
65600,4.213E-11,0.000E+00
65700,4.181E-11,0.000E+00
65800,4.316E-11,0.000E+00
65900,4.031E-11,0.000E+00
66000,4.096E-11,0.000E+00
66100,4.365E-11,0.000E+00
66200,4.138E-11,0.000E+00
66300,4.316E-11,0.000E+00
66400,4.087E-11,0.000E+00
66500,4.302E-11,0.000E+00
66600,4.209E-11,0.000E+00
66700,4.221E-11,0.000E+00
66800,4.434E-11,0.000E+00
66900,4.149E-11,0.000E+00
67000,4.406E-11,0.000E+00
67100,3.970E-11,0.000E+00
67200,4.522E-11,0.000E+00
67300,4.286E-11,0.000E+00
67400,4.321E-11,0.000E+00
67500,4.317E-11,0.000E+00
67600,4.113E-11,0.000E+00
67700,4.452E-11,0.000E+00
67800,3.916E-11,0.000E+00
67900,4.415E-11,0.000E+00
68000,4.286E-11,0.000E+00
68100,4.414E-11,0.000E+00
68200,4.341E-11,0.000E+00
68300,4.110E-11,0.000E+00
68400,4.552E-11,0.000E+00
68500,4.040E-11,0.000E+00
68600,4.361E-11,0.000E+00
68700,4.264E-11,0.000E+00
68800,4.465E-11,0.000E+00
68900,4.220E-11,0.000E+00
69000,4.021E-11,0.000E+00
69100,4.330E-11,0.000E+00
69200,4.107E-11,0.000E+00
69300,4.292E-11,0.000E+00
69400,4.170E-11,0.000E+00
69500,4.463E-11,0.000E+00
69600,4.106E-11,0.000E+00
69700,4.037E-11,0.000E+00
69800,4.491E-11,0.000E+00
69900,4.124E-11,0.000E+00
70000,4.246E-11,0.000E+00
70100,4.046E-11,0.000E+00
70200,4.483E-11,0.000E+00
70300,4.177E-11,0.000E+00
70400,4.193E-11,0.000E+00
70500,4.345E-11,0.000E+00
70600,4.190E-11,0.000E+00
70700,4.425E-11,0.000E+00
70800,3.976E-11,0.000E+00
70900,4.343E-11,0.000E+00
71000,4.289E-11,0.000E+00
71100,4.372E-11,0.000E+00
71200,4.350E-11,0.000E+00
71300,4.141E-11,0.000E+00
71400,4.506E-11,0.000E+00
71500,3.979E-11,0.000E+00
71600,4.450E-11,0.000E+00
71700,4.220E-11,0.000E+00
71800,4.395E-11,0.000E+00
71900,4.458E-11,0.000E+00
72000,4.106E-11,0.000E+00
72100,4.555E-11,0.000E+00
72200,4.051E-11,0.000E+00
72300,4.355E-11,0.000E+00
72400,4.225E-11,0.000E+00
72500,4.389E-11,0.000E+00
72600,4.340E-11,0.000E+00
72700,4.057E-11,0.000E+00
72800,4.400E-11,0.000E+00
72900,4.063E-11,0.000E+00
73000,4.241E-11,0.000E+00
73100,4.174E-11,0.000E+00
73200,4.410E-11,0.000E+00
73300,4.102E-11,0.000E+00
73400,3.997E-11,0.000E+00
73500,4.315E-11,0.000E+00
73600,4.178E-11,0.000E+00
73700,4.280E-11,0.000E+00
73800,4.106E-11,0.000E+00
73900,4.501E-11,0.000E+00
74000,4.157E-11,0.000E+00
74100,4.101E-11,0.000E+00
74200,4.414E-11,0.000E+00
74300,4.171E-11,0.000E+00
74400,4.115E-11,0.000E+00
74500,4.119E-11,0.000E+00
74600,4.493E-11,0.000E+00
74700,4.223E-11,0.000E+00
74800,4.225E-11,0.000E+00
74900,4.451E-11,0.000E+00
75000,4.153E-11,0.000E+00
75100,4.115E-11,0.000E+00
75200,3.991E-11,0.000E+00
75300,4.499E-11,0.000E+00
75400,4.251E-11,0.000E+00
75500,4.318E-11,0.000E+00
75600,4.443E-11,0.000E+00
75700,4.169E-11,0.000E+00
75800,4.621E-11,0.000E+00
75900,3.957E-11,0.000E+00
76000,4.466E-11,0.000E+00
76100,4.307E-11,0.000E+00
76200,4.364E-11,0.000E+00
76300,4.379E-11,0.000E+00
76400,4.090E-11,0.000E+00
76500,4.573E-11,0.000E+00
76600,4.061E-11,0.000E+00
76700,4.341E-11,0.000E+00
76800,4.236E-11,0.000E+00
76900,4.454E-11,0.000E+00
77000,4.244E-11,0.000E+00
77100,3.960E-11,0.000E+00
77200,4.199E-11,0.000E+00
77300,4.167E-11,0.000E+00
77400,4.321E-11,0.000E+00
77500,4.273E-11,0.000E+00
77600,4.313E-11,0.000E+00
77700,4.132E-11,0.000E+00
77800,4.021E-11,0.000E+00
77900,4.299E-11,0.000E+00
78000,4.155E-11,0.000E+00
78100,4.266E-11,0.000E+00
78200,4.201E-11,0.000E+00
78300,4.391E-11,0.000E+00
78400,4.179E-11,0.000E+00
78500,4.071E-11,0.000E+00
78600,4.320E-11,0.000E+00
78700,4.134E-11,0.000E+00
78800,4.367E-11,0.000E+00
78900,4.054E-11,0.000E+00
79000,4.509E-11,0.000E+00
79100,4.219E-11,0.000E+00
79200,4.288E-11,0.000E+00
79300,4.397E-11,0.000E+00
79400,4.114E-11,0.000E+00
79500,4.403E-11,0.000E+00
79600,3.908E-11,0.000E+00
79700,4.497E-11,0.000E+00
79800,4.298E-11,0.000E+00
79900,4.373E-11,0.000E+00
80000,4.418E-11,0.000E+00
80100,4.113E-11,0.000E+00
80200,4.220E-11,0.000E+00
80300,3.992E-11,0.000E+00
80400,4.368E-11,0.000E+00
80500,4.206E-11,0.000E+00
80600,4.426E-11,0.000E+00
80700,4.368E-11,0.000E+00
80800,4.058E-11,0.000E+00
80900,4.325E-11,0.000E+00
81000,4.098E-11,0.000E+00
81100,4.269E-11,0.000E+00
81200,4.198E-11,0.000E+00
81300,4.488E-11,0.000E+00
81400,4.235E-11,0.000E+00
81500,3.977E-11,0.000E+00
81600,4.458E-11,0.000E+00
81700,4.102E-11,0.000E+00
81800,4.242E-11,0.000E+00
81900,4.254E-11,0.000E+00
82000,4.288E-11,0.000E+00
82100,4.105E-11,0.000E+00
